duel_id,modele_a_id,modele_a,modele_b_id,modele_b,titre_page,categorie,ecole_a,ecole_b,inter_ecoles,cylindree_a,cylindree_b,puissance_ch_a,puissance_ch_b,poids_a,poids_b,a2,score_priorite
aprilia-rs660-vs-honda-cbr600rr,honda-cbr600rr,Honda CBR600RR,aprilia-rs660,Aprilia RS 660,Honda CBR600RR ou Aprilia RS 660 : lequel choisir ?,Sportive,japonaise,italienne,oui,599.0,659.0,120.0,101.4,156.5,183.0,non,316.4
honda-crf1000l-vs-moto-guzzi-stelvio,honda-crf1000l,Honda CRF 1000 L Africa Twin,moto-guzzi-stelvio,Moto Guzzi Stelvio,Honda CRF 1000 L Africa Twin ou Moto Guzzi Stelvio : lequel choisir ?,Trail / Aventure,japonaise,italienne,oui,998.0,1151.0,95.2,104.7,,251.0,non,294.2
ducati-multistrada-vs-yamaha-mt-09,yamaha-mt-09,Yamaha MT-09,ducati-multistrada,Ducati Multistrada (2003),Yamaha MT-09 ou Ducati Multistrada (2003) : lequel choisir ?,Roadster,japonaise,italienne,oui,847.2,992.0,119.0,84.0,188.0,200.0,non,293.2
ducati-multistrada-vs-yamaha-mt-10,yamaha-mt-10,Yamaha MT-10,ducati-multistrada,Ducati Multistrada (2003),Yamaha MT-10 ou Ducati Multistrada (2003) : lequel choisir ?,Roadster,japonaise,italienne,oui,998.0,992.0,160.4,84.0,209.0,200.0,non,293.2
bmw-r1200gs-vs-honda-crf1000l,bmw-r1200gs,BMW R 1200 GS,honda-crf1000l,Honda CRF 1000 L Africa Twin,BMW R 1200 GS ou Honda CRF 1000 L Africa Twin : lequel choisir ?,Trail / Aventure,allemande,japonaise,oui,1170.0,998.0,110.1,95.2,225.0,,non,292.5
ducati-panigale-v4-vs-kawasaki-ninja-h2,kawasaki-ninja-h2,Kawasaki Ninja H2,ducati-panigale-v4,Ducati Panigale V4,Kawasaki Ninja H2 ou Ducati Panigale V4 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1103.0,192.4,218.8,239.95,,non,290.9
kawasaki-ninja-650r-vs-yamaha-mt-09,yamaha-mt-09,Yamaha MT-09,kawasaki-ninja-650r,Kawasaki Ninja 650,Yamaha MT-09 ou Kawasaki Ninja 650 : lequel choisir ?,Roadster,japonaise,japonaise,non,847.2,649.0,119.0,72.1,188.0,211.0,non,290.1
kawasaki-ninja-650r-vs-yamaha-mt-07,yamaha-mt-07,Yamaha MT-07,kawasaki-ninja-650r,Kawasaki Ninja 650,Yamaha MT-07 ou Kawasaki Ninja 650 : lequel choisir ?,Roadster,japonaise,japonaise,non,689.6,649.0,74.8,72.1,179.0,211.0,non,290.1
ducati-panigale-v4-vs-kawasaki-ninja-zx-10r,kawasaki-ninja-zx-10r,Kawasaki ZX-10R,ducati-panigale-v4,Ducati Panigale V4,Kawasaki ZX-10R ou Ducati Panigale V4 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1103.0,175.0,218.8,170.0,,non,290.0
ducati-panigale-v4-vs-yamaha-yzf-r1,yamaha-yzf-r1,Yamaha YZF-R1,ducati-panigale-v4,Ducati Panigale V4,Yamaha YZF-R1 ou Ducati Panigale V4 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1103.0,201.8,218.8,203.0,,non,289.4
aprilia-rs-gp-vs-honda-rc213v,honda-rc213v,Honda RC213V,aprilia-rs-gp,Aprilia RS-GP,Honda RC213V ou Aprilia RS-GP : lequel choisir ?,Compétition,japonaise,italienne,oui,1000.0,1000.0,250.0,250.0,160.0,160.0,non,286.6
ducati-1199-vs-kawasaki-ninja-zx-10r,kawasaki-ninja-zx-10r,Kawasaki ZX-10R,ducati-1199,Ducati 1199 Panigale,Kawasaki ZX-10R ou Ducati 1199 Panigale : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1198.0,175.0,174.2,170.0,192.78,non,283.5
ducati-1199-vs-yamaha-yzf-r1,yamaha-yzf-r1,Yamaha YZF-R1,ducati-1199,Ducati 1199 Panigale,Yamaha YZF-R1 ou Ducati 1199 Panigale : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1198.0,201.8,174.2,203.0,192.78,non,282.9
peugeot-metropolis-400-vs-yamaha-tmax,yamaha-tmax,Yamaha TMAX,peugeot-metropolis-400,Peugeot Metropolis 400,Yamaha TMAX ou Peugeot Metropolis 400 : lequel choisir ?,Scooter / Cyclomoteur,japonaise,française,oui,499.0,399.0,40.0,37.2,217.0,258.0,oui,280.1
ducati-desertx-vs-honda-crf1000l,honda-crf1000l,Honda CRF 1000 L Africa Twin,ducati-desertx,Ducati DesertX,Honda CRF 1000 L Africa Twin ou Ducati DesertX : lequel choisir ?,Trail / Aventure,japonaise,italienne,oui,998.0,937.0,95.2,111.5,,211.0,non,278.6
ducati-panigale-v2-vs-kawasaki-ninja-h2,kawasaki-ninja-h2,Kawasaki Ninja H2,ducati-panigale-v2,Ducati Panigale V2,Kawasaki Ninja H2 ou Ducati Panigale V2 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,955.0,192.4,157.1,239.95,205.0,non,278.0
ducati-panigale-v2-vs-kawasaki-ninja-zx-10r,kawasaki-ninja-zx-10r,Kawasaki ZX-10R,ducati-panigale-v2,Ducati Panigale V2,Kawasaki ZX-10R ou Ducati Panigale V2 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,955.0,175.0,157.1,170.0,205.0,non,277.0
